minute,time,heart_rate_bpm,spo2_pct,skin_temp_c,ambient_temp_c,humidity_pct,wbgt_c,pm25_ugm3,activity_index,sleep_stage,hrv_ms,resp_rate_bpm,steps,noise_db,lat,lon
110,01:50,64.6,98.3,33.07,27.6,49.6,23.8,55.9,0.069,Light,59.0,13.1,1,48.6,12.97059,79.15001
115,01:55,67.9,97.7,33.18,28.8,52.0,25.1,43.4,0.071,Deep,68.1,14.6,1,40.4,12.97054,79.14999
120,02:00,74.0,98.3,33.1,28.3,55.4,24.7,47.6,0.092,Deep,74.9,13.8,0,45.6,12.9706,79.14992
125,02:05,69.0,97.3,33.02,28.5,53.4,25.2,49.2,0.069,Deep,74.4,13.6,0,43.6,12.97047,79.15011
130,02:10,67.9,97.6,33.17,27.8,52.2,24.4,48.3,0.056,Deep,70.5,14.5,0,45.7,12.97045,79.15011
135,02:15,67.6,96.6,33.23,28.3,49.6,24.8,48.2,0.059,Deep,71.7,14.4,0,40.1,12.97057,79.15003
140,02:20,67.2,98.0,33.5,28.2,53.6,24.9,51.6,0.085,Deep,72.6,14.4,3,45.5,12.9704,79.14987
145,02:25,66.1,97.5,33.11,28.7,47.8,25.5,57.2,0.073,Deep,73.7,14.2,0,45.0,12.97041,79.15016
150,02:30,70.5,97.3,33.29,28.3,47.0,25.1,38.9,0.085,Light,62.5,14.5,4,45.0,12.97043,79.15007
155,02:35,60.6,97.0,33.02,27.8,52.6,24.4,56.9,0.051,Light,65.3,14.6,0,48.6,12.97054,79.14999
160,02:40,66.2,98.1,33.21,28.6,49.9,25.5,42.2,0.054,Light,65.6,12.7,0,46.8,12.97057,79.14994
165,02:45,64.7,97.9,33.1,28.1,50.3,24.9,44.8,0.063,REM,59.5,13.6,0,44.4,12.97045,79.15004
170,02:50,67.7,97.3,33.06,28.5,52.9,25.4,53.6,0.06,REM,68.2,13.7,0,43.5,12.97051,79.14989
175,02:55,66.7,97.5,33.25,28.8,48.9,25.2,31.5,0.055,REM,61.5,13.7,0,45.8,12.9704,79.14997
180,03:00,68.1,96.3,33.18,28.0,51.6,24.4,49.4,0.066,Light,60.1,12.8,0,42.8,12.97049,79.14996
185,03:05,66.0,97.4,33.09,28.7,49.2,25.0,55.5,0.074,Light,65.0,14.3,3,48.3,12.97059,79.15
190,03:10,61.7,98.8,33.22,28.7,50.5,25.3,42.2,0.057,Light,65.9,13.9,0,45.0,12.97047,79.14999
195,03:15,66.6,97.5,33.1,28.3,53.0,25.1,44.3,0.059,Light,66.6,13.7,0,42.5,12.9705,79.15002
200,03:20,68.6,98.4,33.15,29.0,48.2,25.2,46.6,0.057,Light,63.5,13.8,0,42.9,12.97038,79.14993
205,03:25,67.5,97.5,33.37,29.5,46.5,25.2,44.0,0.061,Deep,68.2,14.3,0,48.8,12.97042,79.15005
210,03:30,66.4,97.8,33.31,28.2,49.1,24.8,46.1,0.061,Deep,72.0,14.7,4,41.3,12.97056,79.15001
215,03:35,65.0,97.2,33.19,27.6,56.1,24.2,57.7,0.085,Deep,75.3,14.1,0,48.4,12.97064,79.14982
220,03:40,70.4,98.2,33.09,27.5,54.1,24.5,58.2,0.052,Deep,72.2,13.3,4,39.8,12.97048,79.14999
225,03:45,67.8,97.1,33.53,29.1,49.7,25.6,57.3,0.072,Deep,67.9,14.3,3,46.1,12.97053,79.15003
230,03:50,65.3,97.2,33.06,28.8,52.3,24.7,44.0,0.057,Deep,69.1,14.3,0,46.4,12.97047,79.15003
235,03:55,68.1,97.7,33.47,28.0,50.5,24.9,41.1,0.078,Deep,75.5,13.7,2,46.5,12.97046,79.15
240,04:00,67.7,98.3,33.14,28.7,51.5,25.8,41.1,0.061,Light,64.2,13.9,1,41.5,12.97047,79.15
245,04:05,66.7,97.2,32.79,27.7,53.0,24.3,52.2,0.056,Light,63.9,13.6,3,41.5,12.97059,79.15011
250,04:10,70.6,98.1,33.3,28.6,51.6,25.1,53.5,0.111,Light,55.5,15.0,0,41.8,12.9705,79.14996
255,04:15,62.7,97.3,33.01,28.4,50.6,24.8,58.7,0.066,REM,64.8,15.0,0,47.5,12.9705,79.14996
260,04:20,67.9,97.1,33.2,28.8,48.9,25.3,49.8,0.056,REM,66.6,12.4,0,50.2,12.97042,79.14999
265,04:25,70.9,97.1,33.24,29.1,53.1,25.0,51.6,0.079,REM,71.7,13.8,0,43.4,12.97056,79.15003
270,04:30,68.5,98.2,32.94,28.3,51.3,24.7,48.0,0.06,Light,58.1,13.9,6,42.9,12.97046,79.15001
275,04:35,62.3,96.4,33.06,27.8,50.5,24.4,61.9,0.078,Light,61.9,13.5,0,44.8,12.97052,79.15001
280,04:40,66.4,97.3,33.28,28.3,47.7,25.2,41.4,0.073,Light,67.3,13.6,4,45.7,12.9705,79.1501
285,04:45,66.5,97.8,33.19,29.4,52.9,25.7,43.3,0.079,Light,63.3,13.8,0,44.7,12.97043,79.14989
290,04:50,70.2,96.3,32.9,27.5,54.6,24.4,50.4,0.063,Light,66.8,13.5,0,47.2,12.97047,79.14997
295,04:55,72.3,97.9,33.22,28.1,51.1,24.7,54.4,0.074,Deep,76.5,13.0,3,44.9,12.97048,79.15003
300,05:00,68.7,97.9,33.12,29.0,49.7,25.3,52.3,0.084,Deep,71.4,13.3,2,50.5,12.97046,79.14997
305,05:05,66.1,97.4,32.92,27.6,51.2,24.4,37.5,0.058,Deep,72.5,14.1,0,45.7,12.97047,79.14994
310,05:10,67.7,98.5,33.1,28.0,47.1,25.0,36.8,0.083,Deep,71.0,13.5,3,43.3,12.97047,79.15007
315,05:15,66.3,97.6,33.14,28.2,48.4,24.8,54.5,0.059,Deep,72.2,14.1,3,44.9,12.97054,79.15006
320,05:20,66.7,98.0,33.1,28.4,51.8,24.8,45.6,0.058,Deep,70.2,13.5,0,42.4,12.97048,79.14999
325,05:25,65.9,95.8,33.27,28.0,51.9,24.4,47.3,0.062,Deep,78.0,13.5,5,49.4,12.97051,79.15
330,05:30,69.0,97.6,32.97,29.1,49.0,25.3,53.9,0.068,Light,64.3,14.1,0,41.5,12.97052,79.15005
335,05:35,65.1,97.5,33.22,28.2,49.2,25.2,36.1,0.075,Light,58.8,13.3,3,45.2,12.97053,79.15009
340,05:40,63.1,96.9,32.86,27.7,47.3,23.9,45.6,0.055,Light,60.3,13.1,9,41.3,12.97059,79.15002
345,05:45,65.1,98.6,33.21,29.1,52.0,25.7,51.8,0.057,REM,73.5,13.0,3,43.2,12.97058,79.15
350,05:50,69.0,97.4,33.18,29.5,49.5,25.7,47.5,0.057,REM,66.8,13.2,0,44.5,12.97045,79.15001
355,05:55,64.8,97.3,33.09,28.8,52.7,25.2,47.0,0.066,REM,71.3,13.7,0,44.4,12.97061,79.14995
360,06:00,125.8,97.5,33.63,28.6,47.3,25.2,48.9,0.568,Awake,47.8,18.4,75,57.8,12.97056,79.14998
365,06:05,118.6,98.0,33.64,28.6,49.5,25.3,45.8,0.531,Awake,54.1,17.3,59,58.6,12.97052,79.14997
370,06:10,127.6,97.0,33.86,27.8,51.9,24.6,59.3,0.633,Awake,45.3,19.5,79,63.4,12.97051,79.15003
375,06:15,123.9,97.6,33.78,28.1,52.4,24.5,47.4,0.611,Awake,46.2,18.3,76,60.7,12.9702,79.15057
380,06:20,129.0,97.5,33.91,28.8,51.1,25.5,54.5,0.65,Awake,49.9,19.3,72,57.8,12.96972,79.15149
385,06:25,137.9,97.6,33.97,28.6,48.1,25.3,41.5,0.699,Awake,49.5,20.5,83,60.0,12.96918,79.15245
390,06:30,132.6,97.4,33.83,28.7,51.6,25.2,47.7,0.685,Awake,48.1,19.8,86,59.1,12.96851,79.15389
395,06:35,124.7,96.2,33.72,28.7,49.1,24.9,47.5,0.571,Awake,50.2,18.9,71,58.5,12.9677,79.15529
400,06:40,129.7,97.0,33.69,28.6,46.7,24.9,40.2,0.617,Awake,51.5,18.1,68,59.1,12.96711,79.1567
405,06:45,133.7,97.6,33.56,27.5,52.1,23.7,40.2,0.673,Awake,51.5,19.3,83,62.1,12.96643,79.15795
410,06:50,138.4,97.3,33.79,29.1,49.4,25.6,28.9,0.678,Awake,48.5,19.6,85,61.4,12.96565,79.15905
415,06:55,132.9,97.6,34.03,29.0,51.2,25.3,51.2,0.679,Awake,47.1,20.4,73,63.7,12.96549,79.16075
420,07:00,131.6,97.3,34.07,28.3,49.2,24.9,43.4,0.686,Awake,49.0,20.0,75,62.6,12.96538,79.16108
425,07:05,133.8,97.6,34.07,28.0,49.6,24.7,55.3,0.739,Awake,43.4,19.9,81,60.4,12.96528,79.16119
430,07:10,128.0,98.1,33.6,28.4,49.8,25.2,49.3,0.664,Awake,46.3,18.3,75,60.3,12.96535,79.16125
435,07:15,126.2,97.4,33.73,28.3,53.7,24.8,58.6,0.621,Awake,52.6,19.7,72,59.8,12.96526,79.16127
440,07:20,131.1,97.9,33.99,29.2,50.7,25.6,49.4,0.618,Awake,51.7,19.1,79,60.3,12.96528,79.16123
445,07:25,137.2,97.5,33.71,28.4,49.0,24.8,64.4,0.709,Awake,42.6,20.2,85,62.3,12.96528,79.16119
450,07:30,121.3,95.9,33.83,29.0,46.3,25.3,42.9,0.572,Awake,50.7,19.5,64,63.2,12.96532,79.16109
455,07:35,129.6,96.5,33.79,28.8,50.1,25.2,43.8,0.623,Awake,54.1,18.6,73,60.9,12.96529,79.16132
460,07:40,126.7,96.8,34.29,28.6,50.8,25.1,33.7,0.635,Awake,48.9,19.6,75,60.9,12.96532,79.16126
465,07:45,125.1,98.0,34.02,29.2,51.5,25.5,49.5,0.593,Awake,46.4,18.4,70,61.0,12.96545,79.16118
470,07:50,129.5,97.5,33.68,28.5,52.2,24.7,54.4,0.702,Awake,47.0,20.5,79,64.0,12.96527,79.16118
475,07:55,132.6,97.6,34.03,28.7,49.7,25.5,50.4,0.668,Awake,49.4,19.8,77,62.8,12.96523,79.16119
480,08:00,128.9,96.3,34.27,29.6,48.5,26.1,53.2,0.656,Awake,48.5,20.3,68,58.9,12.96478,79.161
485,08:05,126.0,96.2,33.88,28.8,48.9,25.4,52.2,0.635,Awake,49.7,18.6,75,61.0,12.96485,79.16096
490,08:10,130.1,98.4,33.93,29.1,49.8,25.9,45.2,0.666,Awake,49.8,19.0,82,65.8,12.96473,79.16096
495,08:15,122.7,97.7,34.0,30.1,46.8,25.9,50.9,0.562,Awake,54.2,18.4,61,58.7,12.96484,79.16094
500,08:20,131.8,97.9,34.18,29.5,49.1,26.1,55.8,0.685,Awake,44.7,19.5,76,67.0,12.96478,79.161
505,08:25,143.6,96.3,34.28,28.9,48.7,25.5,68.1,0.771,Awake,39.6,20.1,84,62.0,12.96477,79.16102
510,08:30,131.5,97.4,33.97,29.0,50.4,25.3,38.4,0.651,Awake,50.5,19.5,81,55.8,12.96485,79.16107
515,08:35,127.8,97.8,34.0,27.7,53.7,24.7,43.7,0.644,Awake,49.0,18.6,76,55.6,12.96486,79.16107
520,08:40,138.8,97.4,34.05,29.5,50.0,26.1,48.7,0.766,Awake,41.6,21.0,90,64.9,12.96479,79.16095
525,08:45,135.0,96.9,34.05,29.7,49.0,25.8,47.0,0.748,Awake,41.6,20.6,83,65.8,12.96485,79.16099
530,08:50,134.9,97.8,33.88,28.9,53.1,25.4,51.4,0.654,Awake,50.8,18.4,75,53.5,12.96484,79.16102
535,08:55,124.4,97.2,33.59,28.3,49.1,24.8,57.2,0.65,Awake,46.0,19.6,77,62.7,12.96487,79.16108
540,09:00,132.5,97.1,34.0,29.2,53.4,25.6,54.6,0.723,Awake,47.0,19.5,79,63.9,12.96483,79.16098
545,09:05,141.9,97.7,33.98,29.2,46.7,25.5,48.7,0.757,Awake,44.6,20.9,84,59.4,12.96488,79.16102
550,09:10,135.7,96.1,33.99,29.5,48.1,25.9,51.8,0.734,Awake,42.1,19.7,86,62.4,12.96475,79.161
555,09:15,137.9,96.9,34.12,28.7,48.8,25.1,58.2,0.696,Awake,49.3,19.7,78,65.0,12.96483,79.16105
560,09:20,138.8,97.5,34.04,29.8,46.4,26.5,60.8,0.737,Awake,45.4,20.0,87,65.4,12.96481,79.16105
565,09:25,134.0,97.4,34.1,28.7,48.0,25.9,46.3,0.714,Awake,51.5,19.6,89,57.0,12.96481,79.16102
570,09:30,137.4,96.1,33.76,29.5,49.2,25.4,49.6,0.724,Awake,42.4,20.8,86,64.2,12.96483,79.16108
575,09:35,132.4,98.0,34.11,29.5,50.9,25.7,51.6,0.701,Awake,48.9,20.5,81,60.5,12.96483,79.161
580,09:40,141.3,97.4,33.96,28.9,47.1,25.6,42.0,0.773,Awake,46.9,21.2,91,63.6,12.96475,79.16103
585,09:45,133.1,96.5,33.74,29.5,48.3,25.5,66.3,0.665,Awake,42.7,20.0,69,61.0,12.96479,79.16101
590,09:50,142.0,96.8,34.28,30.0,48.1,26.7,68.9,0.753,Awake,46.7,20.5,78,62.9,12.96492,79.16094
595,09:55,137.0,96.0,34.08,29.0,47.8,25.8,54.4,0.753,Awake,43.0,21.1,82,66.7,12.9648,79.16102
600,10:00,129.9,97.3,33.97,29.0,49.2,25.5,41.3,0.657,Awake,44.7,19.7,88,63.2,12.9651,79.1615
605,10:05,136.2,96.7,34.17,29.8,52.8,26.2,54.1,0.716,Awake,48.8,20.0,84,60.5,12.96513,79.16144
610,10:10,134.8,97.4,34.23,29.9,46.6,26.4,57.7,0.711,Awake,37.8,19.0,81,60.3,12.96508,79.16146
615,10:15,137.9,98.4,34.3,29.7,47.6,26.8,47.2,0.752,Awake,48.0,19.7,83,58.8,12.96505,79.16155
620,10:20,139.9,97.7,34.34,29.6,48.3,26.3,57.3,0.787,Awake,44.7,20.3,89,55.9,12.96511,79.16156
625,10:25,141.0,97.0,34.19,29.3,49.3,26.3,68.6,0.746,Awake,46.0,19.5,87,59.6,12.96498,79.16152
630,10:30,139.6,97.3,33.99,29.0,46.8,25.7,59.6,0.714,Awake,42.9,19.2,82,62.9,12.96505,79.16159
635,10:35,131.3,97.3,34.1,30.3,45.8,26.9,57.4,0.687,Awake,47.0,19.4,73,64.0,12.96504,79.16142
640,10:40,138.1,96.1,34.2,30.7,47.0,27.1,49.4,0.758,Awake,41.6,19.6,87,61.3,12.9649,79.16149
645,10:45,136.3,96.8,34.2,30.7,48.9,27.1,68.4,0.742,Awake,45.1,21.0,86,59.8,12.96507,79.16144
650,10:50,145.1,98.3,34.46,30.5,44.3,26.7,55.6,0.826,Awake,46.7,21.4,102,60.0,12.96525,79.16144
655,10:55,141.2,97.6,34.45,31.1,48.8,27.2,66.0,0.768,Awake,50.2,21.6,96,63.8,12.96515,79.16156
660,11:00,142.9,97.3,34.06,30.4,47.8,26.6,38.3,0.835,Awake,41.9,20.8,101,67.5,12.96508,79.1615
665,11:05,142.2,96.1,34.33,30.2,44.5,26.5,61.1,0.75,Awake,42.4,20.8,90,60.8,12.96501,79.16143
670,11:10,140.6,97.0,34.35,30.2,50.2,26.8,68.6,0.781,Awake,51.6,20.9,103,64.1,12.96502,79.16142
675,11:15,140.4,97.9,34.53,31.6,43.7,28.2,63.3,0.78,Awake,46.5,21.5,98,59.0,12.96499,79.16151
680,11:20,126.4,97.2,34.21,31.1,47.3,26.7,64.9,0.646,Awake,48.4,18.8,84,63.5,12.96512,79.16148
685,11:25,146.0,97.2,34.37,30.8,45.6,27.6,58.4,0.838,Awake,42.0,21.6,91,66.1,12.96507,79.16153
690,11:30,146.6,97.0,34.47,31.1,42.1,27.3,67.9,0.854,Awake,38.6,20.9,98,63.6,12.96511,79.16146
695,11:35,132.0,96.4,34.56,31.7,45.5,28.5,64.6,0.706,Awake,47.4,19.9,79,58.2,12.96506,79.16154
700,11:40,143.0,97.6,34.68,31.7,44.6,28.1,66.8,0.796,Awake,45.0,21.5,101,63.4,12.965,79.16144
705,11:45,139.8,96.9,34.33,31.7,46.8,27.9,64.8,0.733,Awake,42.1,19.8,83,61.7,12.96508,79.16153
710,11:50,141.3,96.7,34.51,32.2,42.2,28.7,66.7,0.742,Awake,44.7,19.7,85,61.9,12.96503,79.16147
715,11:55,135.1,97.1,34.6,33.0,43.1,29.6,66.9,0.742,Awake,46.3,21.1,89,58.6,12.96518,79.16155
720,12:00,133.3,97.8,34.65,32.9,41.2,29.3,46.1,0.725,Awake,44.1,19.7,85,61.6,12.96434,79.16066
725,12:05,137.0,96.6,34.71,32.0,46.3,28.6,70.9,0.747,Awake,46.4,19.5,90,63.2,12.96462,79.16056
730,12:10,143.9,97.2,34.67,32.0,47.8,28.7,69.4,0.816,Awake,44.5,21.0,97,67.3,12.96435,79.16072
735,12:15,143.3,95.9,34.48,31.7,43.6,28.5,60.7,0.781,Awake,42.5,21.3,86,63.4,12.96444,79.16059
740,12:20,135.1,97.7,34.76,33.8,42.2,29.9,65.4,0.707,Awake,48.3,18.9,83,56.9,12.96451,79.16062
745,12:25,134.6,97.6,34.67,32.7,42.6,29.3,78.7,0.705,Awake,50.7,19.2,89,65.6,12.96452,79.16059
750,12:30,142.9,96.1,34.65,32.9,44.7,29.1,77.9,0.749,Awake,57.0,21.3,88,58.6,12.96453,79.16062
755,12:35,136.3,97.2,34.72,33.4,44.4,30.4,62.9,0.773,Awake,42.9,22.3,94,60.4,12.96449,79.16059
760,12:40,138.0,97.4,34.85,33.4,41.0,29.6,64.7,0.736,Awake,42.4,20.1,92,61.3,12.96451,79.16062
765,12:45,149.3,96.7,34.98,33.8,41.2,29.9,68.7,0.856,Awake,41.4,22.0,101,66.7,12.96445,79.16057
770,12:50,132.3,96.6,34.56,33.6,43.4,29.9,68.7,0.712,Awake,52.1,19.1,86,61.3,12.96452,79.16049
775,12:55,141.8,96.1,34.97,34.7,38.0,31.3,78.3,0.813,Awake,41.3,21.2,99,64.8,12.96447,79.16054
780,13:00,141.3,98.0,34.62,32.4,42.3,30.1,67.5,0.804,Awake,44.0,22.5,95,63.2,12.96457,79.16057
785,13:05,132.0,95.8,34.83,33.8,40.8,30.3,52.5,0.647,Awake,44.2,18.3,69,61.6,12.96445,79.1606
790,13:10,142.8,96.2,34.75,33.5,41.8,30.0,76.5,0.791,Awake,42.8,21.3,95,63.8,12.96448,79.16059
795,13:15,127.1,97.4,34.67,34.0,39.8,30.7,69.0,0.651,Awake,49.4,20.6,79,63.3,12.96454,79.16056
800,13:20,141.1,96.0,34.99,34.0,35.2,30.4,64.9,0.774,Awake,43.9,20.7,86,63.2,12.96444,79.16068
805,13:25,126.9,96.9,34.8,33.5,41.9,30.1,68.9,0.636,Awake,54.7,18.7,82,66.1,12.96446,79.16063
810,13:30,139.1,96.6,34.62,34.1,42.3,30.8,63.7,0.782,Awake,45.8,19.9,99,57.6,12.96455,79.16055
815,13:35,146.4,98.0,34.8,34.2,42.0,30.8,68.5,0.789,Awake,46.6,20.2,98,68.7,12.96441,79.16056
820,13:40,134.7,97.6,34.94,34.9,42.3,31.4,64.4,0.682,Awake,49.7,20.3,79,62.9,12.96451,79.16059
825,13:45,134.0,98.2,34.99,34.9,39.2,31.7,63.1,0.725,Awake,41.8,20.9,85,64.4,12.96449,79.16056
830,13:50,136.7,97.3,35.06,34.9,33.7,31.8,64.5,0.715,Awake,47.2,18.9,78,62.2,12.96438,79.16064
835,13:55,133.6,96.9,34.89,34.6,39.1,31.5,94.7,0.674,Awake,44.8,19.8,76,59.6,12.96448,79.16051
840,14:00,137.0,97.4,35.07,34.9,42.6,31.5,84.5,0.734,Awake,53.8,21.4,87,58.4,12.96527,79.16127
845,14:05,133.2,96.7,35.14,36.9,40.1,33.1,61.5,0.723,Awake,39.5,21.2,94,63.4,12.9653,79.16129
850,14:10,138.8,96.2,34.95,35.7,40.3,32.1,90.5,0.761,Awake,42.2,20.6,83,64.2,12.96515,79.16119
855,14:15,130.4,96.4,35.06,35.8,40.9,32.2,80.7,0.676,Awake,43.4,19.5,76,61.9,12.96524,79.16126
860,14:20,141.5,96.1,35.18,36.6,34.8,32.8,74.6,0.777,Awake,42.9,20.3,96,65.8,12.96534,79.16107
865,14:25,133.7,97.1,35.14,36.6,37.6,33.5,68.1,0.683,Awake,48.4,20.1,73,60.8,12.96526,79.16126
870,14:30,141.1,96.7,35.34,36.7,39.3,33.1,71.4,0.774,Awake,48.2,20.7,92,63.3,12.96515,79.16124
875,14:35,132.8,96.6,35.08,36.6,39.8,33.2,67.6,0.738,Awake,43.0,20.3,91,63.1,12.96535,79.16123
880,14:40,137.2,97.4,35.17,36.8,35.2,33.0,59.8,0.727,Awake,43.3,20.3,83,59.1,12.96528,79.16117
885,14:45,135.6,97.2,35.43,36.8,36.4,33.3,84.1,0.708,Awake,42.1,20.4,79,63.5,12.96531,79.16126
890,14:50,131.3,96.2,35.14,36.0,38.0,32.9,80.0,0.612,Awake,45.8,19.3,79,59.9,12.96525,79.16113
895,14:55,138.8,96.8,35.45,36.6,37.9,33.3,71.0,0.727,Awake,42.9,19.7,87,57.3,12.9653,79.16115
900,15:00,133.3,95.9,35.28,37.7,36.1,34.0,66.2,0.722,Awake,42.9,19.6,78,60.7,12.96522,79.16118
905,15:05,122.7,97.2,35.56,38.6,29.4,35.4,79.8,0.591,Awake,46.7,18.9,70,57.2,12.96535,79.16116
910,15:10,142.0,96.6,35.48,38.7,34.1,34.7,84.5,0.742,Awake,36.4,21.9,83,62.2,12.96529,79.16121
915,15:15,138.4,95.6,35.35,37.6,36.0,34.4,64.3,0.732,Awake,42.9,20.5,93,57.7,12.9652,79.16125
920,15:20,132.6,97.9,35.2,38.0,36.7,34.4,86.7,0.678,Awake,41.6,21.2,88,63.2,12.96527,79.16128
925,15:25,180.2,96.5,35.58,37.4,36.4,34.0,81.7,0.851,Awake,38.1,20.9,94,65.4,12.96524,79.16124
930,15:30,169.8,97.1,35.45,38.7,33.4,34.4,72.0,0.697,Awake,44.1,19.8,78,55.5,12.96526,79.16112
935,15:35,160.7,96.5,35.32,38.2,33.3,34.6,80.8,0.656,Awake,46.7,20.1,84,60.2,12.96522,79.16132
940,15:40,135.5,96.7,35.34,38.2,36.9,34.6,88.0,0.728,Awake,44.3,21.2,91,61.5,12.96529,79.16114
945,15:45,133.2,96.5,35.29,38.0,33.4,34.6,80.5,0.697,Awake,43.4,20.8,80,60.4,12.96531,79.1612
950,15:50,139.2,97.6,35.55,38.4,35.6,35.0,66.6,0.78,Awake,43.0,21.4,101,62.6,12.96525,79.16115
955,15:55,132.8,96.4,35.49,38.3,37.4,34.7,91.8,0.717,Awake,38.4,20.0,84,59.5,12.96529,79.16118
960,16:00,121.4,96.2,35.15,38.0,37.6,34.9,68.3,0.563,Awake,55.5,18.4,60,61.6,12.9648,79.16101
965,16:05,127.0,95.7,35.68,39.7,32.6,36.0,69.4,0.663,Awake,45.9,21.2,83,62.8,12.96486,79.16114
970,16:10,139.6,95.9,35.32,38.6,35.3,35.2,88.5,0.71,Awake,38.2,20.9,85,59.9,12.96485,79.16116
975,16:15,123.9,97.1,35.29,38.5,32.0,35.0,84.4,0.662,Awake,38.2,19.3,88,60.8,12.96473,79.16092
980,16:20,131.6,96.2,35.35,39.2,32.5,35.3,74.9,0.696,Awake,42.4,21.1,82,63.9,12.96474,79.16111
985,16:25,145.8,96.8,35.54,38.3,34.7,34.6,78.6,0.811,Awake,42.4,22.1,99,66.7,12.96487,79.16094
990,16:30,132.7,96.4,35.57,37.9,35.6,34.5,80.6,0.657,Awake,45.1,20.7,77,61.2,12.96483,79.16103
995,16:35,138.8,96.8,35.74,39.0,34.0,35.8,92.0,0.707,Awake,38.1,20.6,88,62.8,12.96465,79.16107
1000,16:40,133.3,96.1,35.62,39.4,34.8,35.9,89.7,0.7,Awake,43.7,20.0,84,58.5,12.96471,79.16097
1005,16:45,130.2,97.2,35.51,38.9,36.6,35.5,73.5,0.654,Awake,45.4,20.9,83,61.3,12.96477,79.16107
1010,16:50,122.5,97.6,35.04,38.5,36.7,35.2,83.2,0.535,Awake,40.8,18.4,59,58.9,12.96479,79.16094
1015,16:55,122.7,97.1,35.25,38.7,34.2,35.3,68.1,0.59,Awake,43.4,19.1,69,56.8,12.96481,79.16094
1020,17:00,118.5,97.2,35.14,38.5,36.5,35.2,71.7,0.549,Awake,48.1,19.7,65,57.3,12.96479,79.16102
1025,17:05,136.3,96.0,35.51,39.4,33.1,36.0,73.6,0.699,Awake,37.5,19.4,82,64.5,12.96489,79.16096
1030,17:10,129.5,96.6,35.22,40.0,32.4,35.4,79.0,0.626,Awake,41.0,19.8,69,64.6,12.96478,79.161
1035,17:15,135.7,96.3,35.35,39.2,33.8,35.6,76.5,0.735,Awake,42.6,21.0,81,64.6,12.96483,79.16089
1040,17:20,122.1,97.0,34.98,38.0,37.2,34.9,88.9,0.566,Awake,49.4,19.9,70,59.0,12.96482,79.16111
