minute,time,heart_rate_bpm,spo2_pct,skin_temp_c,ambient_temp_c,humidity_pct,wbgt_c,pm25_ugm3,activity_index,sleep_stage,hrv_ms,resp_rate_bpm,steps,noise_db,lat,lon
355,05:55,66.5,97.5,32.81,25.4,63.9,22.5,26.6,0.065,REM,66.0,15.0,3,45.8,12.97048,79.15013
360,06:00,96.7,98.0,33.23,25.3,58.4,22.2,35.5,0.297,Awake,60.1,16.0,29,55.6,12.97052,79.14991
365,06:05,91.0,97.0,32.91,25.4,57.2,22.4,31.3,0.197,Awake,57.6,14.5,32,54.7,12.9705,79.15008
370,06:10,92.4,97.8,32.88,25.2,61.3,22.6,28.6,0.2,Awake,53.5,14.7,29,48.9,12.97044,79.14996
375,06:15,77.6,97.2,33.03,26.6,59.5,23.8,38.3,0.098,Awake,63.6,14.5,21,53.5,12.9705,79.14994
380,06:20,82.2,97.5,32.67,25.7,58.5,23.1,34.3,0.102,Awake,60.1,13.8,18,53.5,12.97045,79.14997
385,06:25,81.5,97.8,32.93,26.4,59.9,23.2,32.8,0.098,Awake,57.7,13.8,13,51.4,12.97048,79.15003
390,06:30,82.0,98.0,33.07,25.6,60.6,23.0,33.6,0.118,Awake,62.5,14.3,22,48.6,12.97049,79.15
395,06:35,75.5,95.6,32.78,26.0,60.4,22.8,34.3,0.046,Awake,58.5,14.0,14,49.3,12.97047,79.15005
400,06:40,82.1,96.4,32.87,26.7,62.0,23.4,31.4,0.127,Awake,61.7,14.7,26,54.8,12.97047,79.15007
405,06:45,85.6,98.3,32.98,25.6,59.2,22.5,38.3,0.2,Awake,62.6,15.8,27,54.4,12.97058,79.14995
410,06:50,85.6,97.8,33.1,26.9,59.8,23.6,39.0,0.167,Awake,59.7,14.9,28,54.7,12.97056,79.15006
415,06:55,93.6,96.6,32.73,26.1,61.8,23.1,28.7,0.221,Awake,64.7,14.6,28,57.8,12.97042,79.15012
420,07:00,97.9,97.1,33.13,25.8,62.2,23.3,35.8,0.286,Awake,61.4,15.6,35,49.2,12.9705,79.1505
425,07:05,97.4,98.0,33.31,26.1,62.0,23.3,32.7,0.304,Awake,56.3,16.0,36,61.5,12.97044,79.1508
430,07:10,110.7,97.9,33.21,25.6,60.3,22.8,32.4,0.469,Awake,52.5,17.2,58,56.6,12.97007,79.15158
435,07:15,105.4,97.3,33.44,26.1,59.5,23.1,36.6,0.433,Awake,52.2,17.0,47,58.1,12.97006,79.15238
440,07:20,116.2,97.7,33.61,26.6,61.3,23.6,34.9,0.498,Awake,51.9,17.9,60,55.9,12.96982,79.15302
445,07:25,111.8,97.1,33.16,25.9,58.4,22.9,33.2,0.433,Awake,52.5,19.0,55,55.7,12.96958,79.15367
450,07:30,109.0,97.5,33.33,25.6,62.2,22.8,36.6,0.442,Awake,56.3,16.2,55,53.7,12.96951,79.15448
455,07:35,112.2,97.0,33.32,26.2,61.5,23.4,35.8,0.429,Awake,58.3,17.0,56,55.7,12.96929,79.15505
460,07:40,109.8,97.3,33.36,27.5,59.1,24.2,40.9,0.416,Awake,57.3,16.0,53,56.8,12.96937,79.15522
465,07:45,102.5,96.6,33.12,25.6,65.9,23.2,36.7,0.335,Awake,55.1,16.9,44,52.1,12.96929,79.15539
470,07:50,99.4,97.5,33.18,27.0,63.2,23.8,37.6,0.347,Awake,59.6,16.5,39,54.2,12.96928,79.15553
475,07:55,103.3,97.5,33.37,26.5,60.6,23.4,37.0,0.332,Awake,60.0,17.1,35,54.1,12.96931,79.15551
480,08:00,92.1,97.9,33.12,26.3,59.6,23.5,30.3,0.238,Awake,53.0,17.8,31,55.0,12.96912,79.156
485,08:05,82.5,97.5,33.2,26.5,63.2,23.2,44.2,0.16,Awake,60.7,15.3,16,56.7,12.96926,79.15594
490,08:10,93.7,97.7,33.19,26.3,58.7,23.5,39.5,0.222,Awake,56.8,14.7,22,54.3,12.9693,79.15588
495,08:15,93.3,98.4,33.05,26.9,58.4,23.9,38.5,0.161,Awake,63.5,14.5,22,49.7,12.96919,79.15584
500,08:20,79.7,97.3,32.9,26.7,63.5,23.5,32.1,0.129,Awake,62.4,14.7,22,48.1,12.9691,79.15592
505,08:25,84.2,97.8,33.07,27.4,63.0,24.1,32.6,0.149,Awake,61.7,14.5,16,52.5,12.96922,79.15582
510,08:30,88.6,97.3,33.25,26.1,61.7,23.1,36.7,0.167,Awake,56.3,14.1,27,53.8,12.96918,79.156
515,08:35,72.3,97.9,32.76,26.4,60.5,23.4,34.7,0.038,Awake,66.8,14.0,8,50.0,12.96911,79.15597
520,08:40,87.4,97.1,32.75,26.1,62.9,23.3,30.6,0.162,Awake,60.7,14.6,19,56.3,12.96921,79.15597
525,08:45,79.1,97.7,33.11,26.5,61.4,23.8,34.4,0.109,Awake,59.0,14.1,16,53.4,12.96914,79.156
530,08:50,84.2,98.2,33.21,26.0,57.0,23.5,34.6,0.139,Awake,58.1,14.5,15,46.6,12.96916,79.15593
535,08:55,84.9,97.5,33.0,26.2,64.0,23.3,36.7,0.154,Awake,66.2,13.6,28,51.1,12.96919,79.15584
540,09:00,73.3,98.2,32.82,26.2,64.1,22.9,36.8,0.034,Awake,60.1,13.4,13,50.2,12.96927,79.15595
545,09:05,91.3,97.9,33.09,26.5,59.5,23.6,38.3,0.211,Awake,58.6,15.8,25,52.5,12.96917,79.15591
550,09:10,85.9,97.3,32.89,27.4,60.6,23.9,35.1,0.148,Awake,56.0,13.8,14,51.9,12.96918,79.15591
555,09:15,85.6,97.2,33.15,27.2,62.2,23.8,26.3,0.194,Awake,60.2,14.9,24,52.3,12.96929,79.15591
560,09:20,94.6,97.2,32.93,27.0,65.3,23.7,35.5,0.227,Awake,57.6,15.1,29,55.0,12.96924,79.15591
565,09:25,81.0,97.3,32.74,25.9,60.3,23.5,33.1,0.129,Awake,57.8,14.3,20,51.4,12.9693,79.15591
570,09:30,71.4,97.7,33.11,27.7,61.2,24.3,35.0,0.066,Awake,55.4,13.6,8,48.7,12.96918,79.15586
575,09:35,88.6,98.2,33.16,26.5,59.4,23.3,27.7,0.219,Awake,57.5,15.8,29,51.1,12.96916,79.15586
580,09:40,89.2,97.4,33.07,26.4,59.1,23.7,31.4,0.169,Awake,60.2,14.5,21,49.2,12.96923,79.15583
585,09:45,79.9,97.6,32.9,27.0,59.6,24.0,30.8,0.104,Awake,58.1,14.8,29,55.8,12.96914,79.15591
590,09:50,87.8,97.8,33.1,26.2,57.4,23.5,38.8,0.219,Awake,59.6,14.3,20,54.6,12.96921,79.15591
595,09:55,79.6,97.6,33.12,27.3,60.6,23.4,32.4,0.096,Awake,58.9,14.1,17,50.8,12.96914,79.1561
600,10:00,80.7,97.7,33.21,26.5,59.4,23.8,30.9,0.164,Awake,61.1,14.3,14,58.0,12.96944,79.1561
605,10:05,88.4,97.5,33.16,27.4,60.5,24.1,37.7,0.255,Awake,53.7,15.1,26,54.1,12.96955,79.15619
610,10:10,81.1,98.2,33.12,27.8,58.5,25.0,31.3,0.165,Awake,62.1,14.5,25,50.1,12.96942,79.15613
615,10:15,80.3,97.8,32.8,27.7,62.5,24.4,31.3,0.084,Awake,65.5,14.6,15,57.1,12.96948,79.15614
620,10:20,93.5,96.3,33.31,26.9,56.9,24.3,30.7,0.241,Awake,54.8,14.2,27,53.6,12.96948,79.1561
625,10:25,82.6,97.1,33.53,28.0,58.1,24.9,31.4,0.145,Awake,59.3,14.4,16,52.8,12.96942,79.15625
630,10:30,76.7,97.6,32.94,27.2,61.2,24.2,25.1,0.083,Awake,68.0,13.9,20,54.6,12.96947,79.15611
635,10:35,84.8,97.6,32.99,27.3,57.4,24.2,33.2,0.189,Awake,64.8,15.3,15,49.1,12.96951,79.1562
640,10:40,89.5,98.1,33.33,27.5,58.4,25.1,32.5,0.243,Awake,53.7,14.9,27,55.5,12.96938,79.15613
645,10:45,81.1,97.1,32.97,28.0,58.1,24.6,30.4,0.11,Awake,57.2,13.1,23,54.5,12.96938,79.15622
650,10:50,81.8,97.5,33.2,27.2,59.9,24.2,30.5,0.098,Awake,60.1,14.7,20,54.5,12.9695,79.15616
655,10:55,84.5,97.9,33.43,27.6,60.3,24.8,33.0,0.165,Awake,62.8,15.5,18,50.4,12.96939,79.15613
660,11:00,88.3,97.0,33.37,27.1,60.7,24.3,31.7,0.191,Awake,64.7,15.9,34,53.0,12.96956,79.15618
665,11:05,77.6,98.4,32.93,27.2,60.3,24.4,32.4,0.063,Awake,63.3,12.9,21,56.4,12.96938,79.15613
670,11:10,80.1,97.3,33.09,26.9,56.4,24.4,29.7,0.135,Awake,66.1,13.5,17,54.9,12.96947,79.15609
675,11:15,88.8,97.4,33.25,27.9,59.8,24.5,26.9,0.225,Awake,58.2,14.8,26,62.0,12.96945,79.15607
680,11:20,88.2,96.9,33.25,28.2,56.9,25.6,34.3,0.171,Awake,55.3,14.9,29,58.7,12.96943,79.15618
685,11:25,81.7,97.4,33.11,28.3,58.6,25.0,30.8,0.097,Awake,61.3,14.9,12,50.1,12.96936,79.15621
690,11:30,85.3,98.2,33.2,28.3,61.0,24.9,23.6,0.141,Awake,59.3,15.7,28,52.2,12.96939,79.15623
695,11:35,86.9,97.4,33.42,28.8,58.7,25.3,38.1,0.136,Awake,54.8,14.5,16,50.3,12.96952,79.15606
700,11:40,82.9,97.8,33.38,28.4,56.7,25.6,23.5,0.14,Awake,61.5,14.0,31,53.1,12.96944,79.15602
705,11:45,74.0,97.1,33.17,28.3,55.7,25.4,34.7,0.048,Awake,68.2,13.1,9,52.3,12.9695,79.15615
710,11:50,76.8,97.1,33.14,27.3,57.5,24.2,24.8,0.082,Awake,58.1,14.8,12,57.1,12.96947,79.15603
715,11:55,89.2,98.9,32.96,27.7,58.5,24.7,26.6,0.165,Awake,56.6,14.3,26,51.8,12.96939,79.15632
720,12:00,93.7,98.1,33.54,28.9,57.3,25.9,30.8,0.242,Awake,59.2,15.5,32,56.8,12.96889,79.15559
725,12:05,79.9,97.4,33.11,28.3,60.5,25.4,26.6,0.064,Awake,66.9,13.6,20,52.7,12.96901,79.15559
730,12:10,83.1,96.3,33.4,28.7,59.2,25.7,29.8,0.138,Awake,61.6,14.6,18,50.4,12.96898,79.15561
735,12:15,83.5,97.1,33.51,29.0,57.4,26.1,27.8,0.113,Awake,57.2,14.7,17,53.3,12.96899,79.15559
740,12:20,87.1,97.3,33.37,29.1,57.0,26.1,21.5,0.15,Awake,62.0,14.0,16,53.9,12.96904,79.15554
745,12:25,92.2,96.7,33.68,29.4,56.3,26.2,30.7,0.198,Awake,60.0,15.1,27,58.8,12.96901,79.15565
750,12:30,87.2,97.5,33.63,29.5,59.6,26.1,31.1,0.205,Awake,63.0,13.6,34,53.5,12.96889,79.15561
755,12:35,73.9,96.5,33.23,28.9,56.8,25.9,29.1,0.071,Awake,62.0,12.1,10,50.8,12.96895,79.15565
760,12:40,93.3,96.3,33.32,28.6,57.2,26.1,24.7,0.225,Awake,56.5,15.8,30,53.9,12.96898,79.15565
765,12:45,85.2,98.2,33.47,28.8,58.6,25.9,29.4,0.166,Awake,61.0,14.6,28,55.6,12.969,79.15568
770,12:50,79.2,97.6,33.12,29.1,55.3,26.2,28.7,0.078,Awake,60.6,14.4,13,47.2,12.96885,79.15573
775,12:55,82.3,98.0,33.28,28.7,58.1,25.9,22.7,0.126,Awake,61.1,13.4,11,49.9,12.96905,79.15567
780,13:00,81.5,96.4,33.42,28.7,60.0,26.0,22.1,0.117,Awake,60.5,15.3,26,50.3,12.96904,79.15564
785,13:05,80.7,97.5,33.43,29.7,55.7,26.6,28.1,0.148,Awake,60.9,14.3,18,52.2,12.96893,79.15571
790,13:10,82.9,97.0,33.65,30.2,58.1,26.9,21.7,0.13,Awake,58.9,14.9,22,53.7,12.96898,79.1557
795,13:15,79.4,98.8,33.47,30.3,55.8,27.5,28.1,0.141,Awake,57.5,14.6,26,54.6,12.96893,79.15564
800,13:20,79.7,97.3,33.33,29.6,56.9,26.7,30.0,0.094,Awake,61.0,14.3,15,52.8,12.96887,79.1557
805,13:25,76.0,98.3,33.32,30.8,56.4,27.4,30.9,0.065,Awake,59.3,14.3,11,50.9,12.96885,79.15561
810,13:30,86.9,97.8,33.34,29.2,59.0,26.4,23.7,0.18,Awake,67.2,14.8,31,53.8,12.96884,79.1555
815,13:35,86.9,97.1,33.82,29.6,51.2,27.3,27.7,0.203,Awake,61.1,15.2,31,56.3,12.9691,79.15561
820,13:40,75.9,97.5,33.35,30.1,56.7,27.0,24.7,0.105,Awake,64.3,14.2,12,50.8,12.96902,79.15562
825,13:45,82.5,97.9,33.43,30.1,56.5,27.0,20.8,0.103,Awake,59.9,13.7,13,54.2,12.96892,79.1556
830,13:50,82.8,97.4,33.57,30.7,56.3,27.4,18.2,0.166,Awake,58.6,14.0,19,49.8,12.96909,79.15566
835,13:55,81.4,97.8,33.65,30.5,54.8,27.3,26.2,0.147,Awake,62.2,14.4,22,57.1,12.96902,79.15567
840,14:00,86.4,97.1,33.85,30.2,54.0,27.5,24.2,0.125,Awake,62.6,14.7,21,50.1,12.96929,79.15541
845,14:05,88.9,98.8,33.8,30.7,55.5,28.0,28.3,0.177,Awake,59.3,14.0,22,52.2,12.96931,79.1555
850,14:10,93.1,98.2,33.44,29.9,55.9,26.9,22.3,0.229,Awake,55.4,15.0,34,58.6,12.96926,79.15548
855,14:15,80.6,97.5,33.35,31.2,51.8,27.9,27.9,0.114,Awake,62.0,14.1,25,54.0,12.96935,79.15543
860,14:20,75.2,97.0,33.66,29.9,56.2,27.0,27.4,0.054,Awake,61.2,13.2,18,55.1,12.9693,79.15536
865,14:25,75.3,97.0,33.52,31.6,52.5,28.3,25.9,0.083,Awake,66.3,13.8,16,55.8,12.96939,79.15539
870,14:30,86.0,97.3,33.8,31.1,56.0,28.1,17.5,0.173,Awake,63.7,15.2,23,58.8,12.96934,79.15547
875,14:35,90.0,97.6,33.54,31.9,53.6,28.4,26.9,0.176,Awake,59.1,14.3,33,56.1,12.96933,79.15541
880,14:40,86.3,98.0,33.67,31.5,51.7,28.2,23.5,0.165,Awake,59.5,14.6,20,56.6,12.96925,79.15546
885,14:45,85.4,97.6,34.03,31.0,58.8,28.4,28.8,0.169,Awake,56.4,15.3,27,51.4,12.96937,79.15544
890,14:50,95.2,97.5,33.68,30.2,56.5,27.6,24.0,0.243,Awake,61.0,15.4,31,54.5,12.9693,79.15539
895,14:55,78.8,97.8,33.37,30.8,55.4,27.9,31.4,0.114,Awake,62.2,13.8,12,53.5,12.96921,79.15537
900,15:00,80.5,97.9,33.65,31.3,53.0,28.1,27.1,0.1,Awake,63.8,13.3,15,53.0,12.96935,79.1555
905,15:05,85.4,97.7,33.67,31.6,52.7,28.6,26.4,0.114,Awake,60.0,13.8,23,48.9,12.96933,79.1554
910,15:10,77.9,97.4,33.99,31.9,55.0,28.5,30.4,0.042,Awake,61.7,13.8,15,51.2,12.96933,79.15549
915,15:15,93.2,98.7,33.72,31.0,55.8,28.3,31.0,0.233,Awake,58.6,15.3,30,52.8,12.96931,79.15546
920,15:20,82.2,98.9,33.65,31.3,54.3,28.2,36.7,0.149,Awake,62.3,13.1,21,56.3,12.96932,79.15547
925,15:25,90.3,97.7,33.8,31.4,56.3,28.7,25.5,0.211,Awake,54.5,15.2,27,55.3,12.96932,79.15554
930,15:30,86.2,97.3,33.89,31.8,54.9,28.7,29.8,0.184,Awake,55.8,13.4,21,54.3,12.96933,79.15542
935,15:35,83.5,98.0,33.85,31.9,55.6,28.9,32.1,0.135,Awake,60.4,15.5,19,50.4,12.96943,79.15547
940,15:40,85.9,97.5,33.9,31.5,55.2,28.8,28.9,0.174,Awake,56.1,13.7,19,53.1,12.96928,79.1555
945,15:45,85.8,97.6,33.99,32.2,54.0,29.0,33.5,0.178,Awake,58.3,15.8,24,51.5,12.96927,79.15549
950,15:50,92.8,97.2,33.5,31.5,55.5,28.6,31.5,0.173,Awake,53.6,15.5,22,50.8,12.96937,79.15536
955,15:55,78.9,97.3,33.71,32.3,54.0,29.2,22.4,0.077,Awake,60.7,13.4,10,53.7,12.96933,79.15543
960,16:00,78.1,97.5,33.98,32.1,56.9,28.8,32.3,0.169,Awake,57.4,16.2,20,50.8,12.96927,79.15597
965,16:05,77.4,96.9,33.5,31.8,52.9,29.0,24.5,0.092,Awake,61.7,14.8,20,51.6,12.96918,79.15589
970,16:10,82.4,96.9,33.85,32.1,54.6,28.6,32.0,0.102,Awake,55.5,14.6,5,52.1,12.96913,79.15596
975,16:15,81.7,97.4,33.66,31.3,54.9,28.5,26.4,0.139,Awake,58.5,15.0,22,52.8,12.96915,79.15593
980,16:20,95.0,97.6,33.83,31.5,57.9,28.7,30.3,0.239,Awake,57.6,14.4,33,56.7,12.96913,79.15583
985,16:25,91.8,96.9,33.85,31.1,54.2,28.3,32.4,0.228,Awake,59.8,15.0,27,54.3,12.96912,79.15588
990,16:30,92.7,96.3,34.34,31.8,55.2,29.0,30.1,0.212,Awake,58.8,15.5,22,56.2,12.9693,79.15587
995,16:35,82.7,96.5,33.93,32.5,52.5,29.3,26.3,0.134,Awake,68.6,14.9,13,56.5,12.96926,79.15589
1000,16:40,90.6,97.9,33.79,31.7,54.7,29.0,28.2,0.218,Awake,54.4,14.5,22,51.4,12.96928,79.15587
1005,16:45,78.7,98.2,33.81,32.6,49.4,29.4,23.0,0.066,Awake,51.2,13.9,13,56.8,12.96919,79.15594
1010,16:50,81.6,97.7,33.93,31.5,54.3,28.8,32.9,0.133,Awake,57.5,15.4,29,56.9,12.96916,79.15587
1015,16:55,82.7,97.6,33.52,32.0,52.6,28.9,28.9,0.132,Awake,59.1,14.7,25,54.8,12.96918,79.15592
1020,17:00,81.8,98.1,33.78,32.5,51.6,29.4,29.8,0.108,Awake,60.1,13.9,18,53.2,12.96926,79.1559
1025,17:05,86.5,97.1,34.06,32.5,53.1,29.5,31.9,0.139,Awake,59.2,14.6,27,54.6,12.96925,79.15588
1030,17:10,86.5,97.6,33.6,31.9,52.2,29.1,26.3,0.165,Awake,60.4,14.9,16,56.6,12.96911,79.15581
1035,17:15,86.6,98.7,34.07,32.4,55.0,29.3,31.1,0.183,Awake,56.2,14.6,24,58.1,12.96923,79.15593
1040,17:20,83.8,97.9,33.97,32.7,52.1,29.5,29.0,0.156,Awake,58.8,14.8,23,54.1,12.96924,79.15582
